obfuscated,deobfuscated
*,field_79022_d
*,field_79024_c
*,field_79010_a
*,field_79017_e
*,field_79020_a
*,field_79030_a
*,field_79023_b
*,field_79025_a
*,func_79001_aj
*,func_79000_a
